Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
FE_RC_54_0                      8.251e+07       8.251e+07  0.0002141   0.0001828   2.181e-05   0.0004188      0.1053    BUF_X1
FE_RC_34_0                      8.251e+07       8.251e+07  0.0002157    0.000179   2.181e-05   0.0004165      0.1048    BUF_X1
FE_RC_64_0                      8.251e+07       8.251e+07  0.0002156   0.0001779   2.181e-05   0.0004153      0.1045    BUF_X1
FE_RC_60_0                      8.251e+07       8.251e+07  0.0002146   0.0001786   2.181e-05   0.0004149      0.1044    BUF_X1
add_dx_U4                           2e+08           2e+08  0.0001869   0.0002126   1.435e-05   0.0004139      0.1041    INV_X1
FE_RC_65_0                      8.251e+07       8.251e+07  0.0002145   0.0001773   2.181e-05   0.0004136       0.104    BUF_X1
add_dx_U16                          2e+08           2e+08   0.000187   0.0002121   1.435e-05   0.0004134       0.104    INV_X1
add_dx_U22                          2e+08           2e+08   0.000189   0.0002091   1.456e-05   0.0004127      0.1038    INV_X1
add_dx_U10                          2e+08           2e+08  0.0001889   0.0002093   1.436e-05   0.0004126      0.1038    INV_X1
add_dx_U14                          2e+08           2e+08  0.0001871    0.000211   1.435e-05   0.0004124      0.1037    INV_X1
add_dx_U12                          2e+08           2e+08   0.000187   0.0002099   1.435e-05   0.0004112      0.1034    INV_X1
moltb1_mult_17_U136             1.031e+08       1.031e+08  0.0001547   0.0002371   1.942e-05   0.0004112      0.1034    NOR2_X1
add_dx_U8                           2e+08           2e+08   0.000187   0.0002097   1.435e-05    0.000411      0.1034    INV_X1
FE_RC_59_0                      8.251e+07       8.251e+07  0.0002153   0.0001737   2.181e-05   0.0004108      0.1033    BUF_X1
moltb1_mult_17_U119             8.251e+07       8.251e+07  0.0001783   0.0001878   4.099e-05    0.000407      0.1024    XNOR2_X1
moltb1_mult_17_U125             8.251e+07       8.251e+07  0.0001783   0.0001873   4.099e-05   0.0004065      0.1022    XNOR2_X1
moltb1_mult_17_U128             1.031e+08       1.031e+08  0.0001509   0.0002346   1.942e-05   0.0004049      0.1018    NOR2_X1
add_dx_U20                      1.945e+08       1.945e+08  0.0001834    0.000207   1.435e-05   0.0004047      0.1018    INV_X1
molta1_mult_17_U121             8.251e+07       8.251e+07  0.0001784   0.0001822   4.099e-05   0.0004016       0.101    XNOR2_X1
molta1_mult_17_U105             1.271e+08       1.271e+08  0.0001217   0.0002665   1.316e-05   0.0004013      0.1009    INV_X1
moltb1_mult_17_U127             8.251e+07       8.251e+07  0.0001784   0.0001808   4.099e-05   0.0004002      0.1007    XNOR2_X1
moltb1_mult_17_U154             8.251e+07       8.251e+07  0.0001799    0.000179   4.099e-05   0.0003999      0.1006    XNOR2_X1
molta1_mult_17_U153             8.251e+07       8.251e+07  0.0001799   0.0001788   4.099e-05   0.0003997      0.1005    XNOR2_X1
FE_RC_14_0                      1.611e+08       1.611e+08  0.0001888   0.0001794   3.091e-05   0.0003991      0.1004    NAND2_X1
molta1_mult_17_U134             8.251e+07       8.251e+07   0.000179    0.000179   4.099e-05    0.000399      0.1004    XNOR2_X1
FE_RC_13_0                      1.547e+08       1.547e+08  0.0001809   0.0001863   3.102e-05   0.0003982      0.1002    NAND2_X1
moltb1_mult_17_U132             8.251e+07       8.251e+07   0.000179   0.0001782   4.099e-05   0.0003982      0.1002    XNOR2_X1
moltb1_mult_17_U164             8.251e+07       8.251e+07    0.00018   0.0001758   4.099e-05   0.0003967     0.09978    XNOR2_X1
add_dx_U6                           2e+08           2e+08  0.0001868   0.0001953   1.435e-05   0.0003964     0.09969    INV_X1
moltb1_mult_17_U159             8.251e+07       8.251e+07   0.000179   0.0001763   4.099e-05   0.0003964     0.09969    XNOR2_X1
moltb1_mult_17_U161             8.251e+07       8.251e+07    0.00018   0.0001745   4.099e-05   0.0003954     0.09946    XNOR2_X1
moltb1_mult_17_U156             8.251e+07       8.251e+07  0.0001791   0.0001722   4.099e-05   0.0003923     0.09867    XNOR2_X1
FE_RC_12_0                      1.031e+08       1.047e+08  0.0002158   0.0001346   3.283e-05   0.0003832     0.09638    AOI21_X1
molta1_mult_17_U102             1.271e+08       1.271e+08  0.0001271   0.0002397   1.316e-05     0.00038     0.09556    INV_X1
FE_RC_67_0                      1.031e+08       1.047e+08  0.0002254    0.000121   3.081e-05   0.0003772     0.09488    AOI21_X1
FE_RC_39_0                      8.251e+07       1.031e+08  0.0002051   0.0001384   3.278e-05   0.0003763     0.09465    AOI21_X1
reg_DOUT_U14                    1.083e+08       1.209e+08  0.0002354   0.0001061    3.12e-05   0.0003727     0.09374    OAI21_X1
reg_DOUT_U12                    1.083e+08       1.209e+08  0.0002358   0.0001026    3.12e-05   0.0003697     0.09298    OAI21_X1
reg_DOUT_U2                     1.083e+08       1.209e+08  0.0002353    0.000101    3.12e-05   0.0003674     0.09241    OAI21_X1
reg_DOUT_U10                    1.083e+08       1.209e+08  0.0002352   9.436e-05    3.12e-05   0.0003607     0.09073    OAI21_X1
reg_DOUT_U6                     1.083e+08       1.209e+08   0.000235   9.105e-05    3.12e-05   0.0003573     0.08986    OAI21_X1
moltb1_mult_17_U117             8.251e+07       6.833e+07  0.0001703    0.000137   4.249e-05   0.0003498     0.08798    OAI22_X1
molta1_mult_17_U103             1.031e+08       1.031e+08  9.998e-05   0.0002355   1.287e-05   0.0003484     0.08762    INV_X1
add_sx_U22                      1.556e+08       1.556e+08  0.0001764   0.0001562   1.435e-05    0.000347     0.08727    INV_X1
FE_RC_56_0                      8.251e+07       9.179e+07  0.0001884   0.0001234   3.358e-05   0.0003454     0.08686    AOI21_X1
reg_DOUT_U4                     1.083e+08       1.137e+08  0.0002214   9.074e-05    3.12e-05   0.0003434     0.08636    OAI21_X1
add_dx_sub_16_U8                1.031e+08       1.031e+08  0.0001034   0.0002258   1.292e-05   0.0003421     0.08604    INV_X1
moltb1_mult_17_U105             1.047e+08       1.047e+08  0.0001001    0.000219   1.226e-05   0.0003313     0.08332    INV_X1
del_U12                         1.083e+08       1.049e+08  0.0002027   9.326e-05    3.12e-05   0.0003272     0.08229    OAI21_X1
FE_RC_10_0                      1.031e+08       8.274e+07  0.0002157   8.734e-05   2.248e-05   0.0003255     0.08186    OR2_X1
FE_RC_38_0                      1.031e+08       8.274e+07  0.0002165   8.511e-05   2.248e-05   0.0003241      0.0815    OR2_X1
reg_DOUT_U20                    1.078e+08       1.053e+08  0.0002025   8.819e-05   3.169e-05   0.0003223     0.08107    OAI21_X1
del_U10                         1.083e+08       1.056e+08  0.0002042   8.507e-05    3.12e-05   0.0003205      0.0806    OAI21_X1
del_U8                          1.083e+08       1.041e+08  0.0002011   8.681e-05    3.12e-05   0.0003191     0.08026    OAI21_X1
reg_DOUT_U8                     1.082e+08       1.025e+08  0.0001994   8.569e-05   3.121e-05   0.0003163     0.07956    OAI21_X1
molta1_mult_17_U130             8.251e+07       8.251e+07  0.0001823   8.906e-05   4.099e-05   0.0003123     0.07855    XNOR2_X1
moltb1_mult_17_U103             9.179e+07       9.179e+07  8.917e-05   0.0002018   1.206e-05    0.000303     0.07621    INV_X1
moltb1_mult_17_U102             1.047e+08       1.047e+08  0.0001044   0.0001809   1.226e-05   0.0002976     0.07484    INV_X1
reg_DOUT_U13                        2e+08       1.083e+08  0.0001346   0.0001433   1.739e-05   0.0002953     0.07426    NAND2_X1
del_U9                              2e+08       1.083e+08  0.0001423   0.0001284   1.739e-05   0.0002881     0.07245    NAND2_X1
