Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
del_U11                             2e+08       1.083e+08  0.0001424   0.0001175   1.739e-05   0.0002773     0.06974    NAND2_X1
molta1_mult_17_U138             8.251e+07       8.251e+07  0.0001484   8.962e-05   3.773e-05   0.0002758     0.06936    XNOR2_X1
del_U6                          9.495e+07       9.225e+07  0.0001759   6.824e-05    3.12e-05   0.0002753     0.06925    OAI21_X1
reg_DOUT_U11                        2e+08       1.083e+08  0.0001344   0.0001233   1.739e-05   0.0002751     0.06919    NAND2_X1
reg_DOUT_U15                        2e+08       1.083e+08  0.0001343   0.0001221   1.739e-05   0.0002738     0.06887    NAND2_X1
reg_DOUT_U17                        2e+08       1.083e+08  0.0001343   0.0001206   1.739e-05   0.0002723     0.06849    NAND2_X1
reg_DOUT_U7                         2e+08       1.083e+08  0.0001343   0.0001205   1.739e-05   0.0002722     0.06845    NAND2_X1
reg_DOUT_U3                         2e+08       1.083e+08  0.0001343   0.0001202   1.739e-05   0.0002718     0.06837    NAND2_X1
reg_DOUT_U9                         2e+08       1.082e+08  0.0001341   0.0001156   1.739e-05    0.000267     0.06716    NAND2_X1
reg_DOUT_U19                    1.945e+08       1.055e+08  0.0001311   0.0001177   1.739e-05   0.0002661     0.06693    NAND2_X1
del_U13                             2e+08       1.083e+08  0.0001297   0.0001173   1.739e-05   0.0002644     0.06649    NAND2_X1
del_U4                          8.604e+07       8.486e+07  0.0001612   7.109e-05    3.12e-05   0.0002635     0.06627    OAI21_X1
del_U2                          8.604e+07       8.399e+07  0.0001591   6.513e-05    3.12e-05   0.0002554     0.06424    OAI21_X1
FE_RC_77_0                      1.031e+08       6.332e+07  9.461e-05    0.000132    2.29e-05   0.0002495     0.06276    NOR2_X1
del_U7                          1.734e+08       9.495e+07   0.000114   0.0001162   1.739e-05   0.0002476     0.06228    NAND2_X1
del_U5                          1.556e+08       8.604e+07   0.000115   9.714e-05   1.739e-05   0.0002295     0.05773    NAND2_X1
reg_DOUT_U16                    1.083e+08       6.674e+07  0.0001318   5.699e-05    3.12e-05     0.00022     0.05532    OAI21_X1
del_U3                          1.556e+08       8.604e+07  0.0001035   9.546e-05   1.739e-05   0.0002163     0.05441    NAND2_X1
add_sx_sub_16_U2_1              2.578e+07       2.578e+07  9.158e-05   3.152e-05   8.621e-05   0.0002093     0.05264    FA_X1
add_sx_sub_16_U2_4              2.578e+07       2.578e+07  9.156e-05   3.115e-05   8.621e-05   0.0002089     0.05255    FA_X1
add_sx_sub_16_U2_3              2.578e+07       2.578e+07   9.15e-05   3.071e-05   8.621e-05   0.0002084     0.05242    FA_X1
add_sx_sub_16_U2_2              2.578e+07       2.578e+07  9.145e-05   3.016e-05   8.621e-05   0.0002078     0.05227    FA_X1
add_dx_U3                           2e+08           2e+08  0.0001852           0   1.435e-05   0.0001995     0.05018    INV_X1
add_sx_U11                          2e+08           2e+08  0.0001796           0   1.436e-05   0.0001939     0.04878    INV_X1
add_sx_U3                           2e+08           2e+08  0.0001792           0   1.436e-05   0.0001936     0.04869    INV_X1
add_sx_U4                       1.611e+08       1.611e+08  0.0001445           0   1.442e-05   0.0001589     0.03997    INV_X1
add_sx_U5                       1.547e+08       1.547e+08  0.0001389           0   1.434e-05   0.0001533     0.03854    INV_X1
reg_DOUT_U18                    1.055e+08       4.231e+07  8.558e-05   3.604e-05    3.12e-05   0.0001528     0.03844    OAI21_X1
add_sx_add_16_U1_4              2.578e+07       2.578e+07  8.949e-05           0   5.614e-05   0.0001456     0.03663    FA_X1
add_sx_add_16_U1_1              2.578e+07       2.578e+07  8.949e-05           0   5.614e-05   0.0001456     0.03663    FA_X1
add_sx_add_16_U1_3              2.578e+07       2.578e+07  8.949e-05           0   5.614e-05   0.0001456     0.03663    FA_X1
add_sx_add_16_U1_2              2.578e+07       2.578e+07  8.948e-05           0   5.614e-05   0.0001456     0.03663    FA_X1
add_sx_add_16_U1                2.578e+07       2.578e+07  0.0001078           0   3.326e-05   0.0001411     0.03549    XOR2_X1
reg_in_U21                      2.578e+07       2.578e+07  4.741e-05   2.392e-05    3.12e-05   0.0001025     0.02579    OAI21_X1
reg_in_U19                      2.578e+07       2.578e+07  4.735e-05   2.222e-05    3.12e-05   0.0001008     0.02535    OAI21_X1
reg_in_U17                      2.578e+07       2.578e+07  4.734e-05   2.214e-05    3.12e-05   0.0001007     0.02532    OAI21_X1
reg_in_U5                       2.578e+07       2.578e+07  4.731e-05   2.122e-05    3.12e-05   9.973e-05     0.02508    OAI21_X1
reg_in_U27                      2.578e+07       2.578e+07  4.729e-05   2.078e-05    3.12e-05   9.927e-05     0.02497    OAI21_X1
reg_in_U25                      2.578e+07       2.578e+07  4.728e-05   2.037e-05    3.12e-05   9.885e-05     0.02486    OAI21_X1
reg_in_U23                      2.578e+07       2.578e+07  4.727e-05   2.019e-05    3.12e-05   9.866e-05     0.02481    OAI21_X1
reg_in_U11                      2.578e+07       2.578e+07  4.726e-05   2.004e-05    3.12e-05   9.851e-05     0.02478    OAI21_X1
reg_in_U31                      2.578e+07       2.578e+07  4.726e-05   1.984e-05    3.12e-05   9.831e-05     0.02472    OAI21_X1
reg_in_U15                      2.578e+07       2.578e+07  4.726e-05   1.983e-05    3.12e-05   9.829e-05     0.02472    OAI21_X1
reg_in_U13                      2.578e+07       2.578e+07  4.726e-05   1.983e-05    3.12e-05   9.829e-05     0.02472    OAI21_X1
reg_in_U7                       2.578e+07       2.578e+07  4.726e-05   1.972e-05    3.12e-05   9.818e-05     0.02469    OAI21_X1
reg_in_U29                      2.578e+07       2.578e+07  4.725e-05   1.964e-05    3.12e-05    9.81e-05     0.02467    OAI21_X1
reg_in_U9                       2.578e+07       2.578e+07  4.724e-05   1.942e-05    3.12e-05   9.786e-05     0.02461    OAI21_X1
FE_RC_47_0                      2.578e+07       2.578e+07  3.013e-05   2.919e-05   2.994e-05   8.925e-05     0.02245    NAND2_X1
FE_RC_62_0                      2.578e+07       2.578e+07  3.012e-05   2.914e-05   2.994e-05    8.92e-05     0.02243    NAND2_X1
FE_RC_8_0                       2.578e+07       2.578e+07  3.002e-05   2.904e-05   2.994e-05   8.899e-05     0.02238    NAND2_X1
FE_RC_55_0                      2.578e+07       2.578e+07  3.012e-05   2.889e-05   2.994e-05   8.895e-05     0.02237    NAND2_X1
FE_RC_37_0                      2.578e+07       2.578e+07  3.012e-05   2.863e-05   2.994e-05   8.868e-05      0.0223    NAND2_X1
add_dx_sub_16_U2_3                      0               0          0           0   7.466e-05   7.466e-05     0.01878    FA_X1
add_dx_sub_16_U2_2                      0               0          0           0   7.466e-05   7.466e-05     0.01878    FA_X1
add_dx_sub_16_U2_1                      0               0          0           0   7.466e-05   7.466e-05     0.01878    FA_X1
FE_RC_6_0                        1.65e+07        1.65e+07  3.744e-05   1.406e-05   2.144e-05   7.293e-05     0.01834    BUF_X1
reg_DOUT_U29                     1.65e+07       1.073e+07  1.802e-05   8.874e-06   4.176e-05   6.865e-05     0.01727    OAI21_X1
reg_DOUT_U31                     1.65e+07       1.073e+07  1.802e-05   8.626e-06   4.176e-05    6.84e-05      0.0172    OAI21_X1
reg_DOUT_U27                     1.65e+07       1.073e+07  1.802e-05   8.218e-06   4.176e-05   6.799e-05      0.0171    OAI21_X1
reg_DOUT_U25                     1.65e+07       1.073e+07  1.656e-05   8.199e-06   4.176e-05   6.651e-05     0.01673    OAI21_X1
reg_in_U10                       1.65e+07        1.65e+07  2.274e-05   1.872e-05   1.739e-05   5.886e-05      0.0148    NAND2_X1
reg_in_U28                       1.65e+07        1.65e+07  2.274e-05   1.871e-05   1.739e-05   5.884e-05      0.0148    NAND2_X1
reg_in_U12                       1.65e+07        1.65e+07  2.274e-05    1.86e-05   1.739e-05   5.873e-05     0.01477    NAND2_X1
reg_in_U30                       1.65e+07        1.65e+07  2.274e-05   1.857e-05   1.739e-05    5.87e-05     0.01476    NAND2_X1
reg_in_U16                       1.65e+07        1.65e+07  2.274e-05   1.855e-05   1.739e-05   5.869e-05     0.01476    NAND2_X1
reg_in_U32                       1.65e+07        1.65e+07  2.274e-05   1.841e-05   1.739e-05   5.854e-05     0.01472    NAND2_X1
reg_in_U26                       1.65e+07        1.65e+07  2.274e-05   1.837e-05   1.739e-05    5.85e-05     0.01471    NAND2_X1
reg_in_U14                       1.65e+07        1.65e+07  2.273e-05   1.827e-05   1.739e-05    5.84e-05     0.01469    NAND2_X1
reg_in_U18                       1.65e+07        1.65e+07  2.273e-05   1.827e-05   1.739e-05   5.839e-05     0.01468    NAND2_X1
reg_in_U8                        1.65e+07        1.65e+07  2.273e-05   1.813e-05   1.739e-05   5.825e-05     0.01465    NAND2_X1
reg_in_U6                        1.65e+07        1.65e+07  2.272e-05   1.792e-05   1.739e-05   5.803e-05     0.01459    NAND2_X1
reg_in_U24                       1.65e+07        1.65e+07   2.27e-05    1.79e-05   1.739e-05   5.799e-05     0.01459    NAND2_X1
reg_in_U20                       1.65e+07        1.65e+07  2.272e-05   1.784e-05   1.739e-05   5.795e-05     0.01457    NAND2_X1
reg_in_U22                       1.65e+07        1.65e+07   2.27e-05   1.725e-05   1.739e-05   5.734e-05     0.01442    NAND2_X1
add_dx_add_16_U1_3                      0               0          0           0   4.811e-05   4.811e-05      0.0121    FA_X1
add_dx_add_16_U1_2                      0               0          0           0   4.811e-05   4.811e-05      0.0121    FA_X1
add_dx_add_16_U1_1                      0               0          0           0   4.811e-05   4.811e-05      0.0121    FA_X1
add_sx_U10                      2.578e+07       2.578e+07  2.321e-05           0   1.508e-05   3.829e-05    0.009631    INV_X1
add_sx_U6                       2.578e+07       2.578e+07  2.313e-05           0   1.508e-05   3.821e-05    0.009611    INV_X1
add_sx_U9                       2.578e+07       2.578e+07  2.312e-05           0   1.508e-05    3.82e-05    0.009608    INV_X1
add_sx_U8                       2.578e+07       2.578e+07  2.312e-05           0   1.508e-05    3.82e-05    0.009608    INV_X1
add_sx_U7                       2.578e+07       2.578e+07  2.312e-05           0   1.508e-05    3.82e-05    0.009608    INV_X1
molta1_mult_17_U116             8.251e+07               0          0           0    2.41e-05    2.41e-05     0.00606    NOR2_X1
molta1_mult_17_U136             1.031e+08               0          0           0   2.315e-05   2.315e-05    0.005823    NOR2_X1
molta1_mult_17_U128             1.031e+08               0          0           0   2.315e-05   2.315e-05    0.005823    NOR2_X1
add_dx_U26                              0               0          0           0    1.86e-05    1.86e-05    0.004679    INV_X1
add_dx_U28                              0               0          0           0    1.86e-05    1.86e-05    0.004679    INV_X1
add_dx_U30                              0               0          0           0    1.86e-05    1.86e-05    0.004679    INV_X1
add_dx_U33                              0               0          0           0    1.86e-05    1.86e-05    0.004679    INV_X1
moltb0_mult_17_U112                     0               0          0           0    1.86e-05    1.86e-05    0.004679    INV_X1
moltb1_mult_17_U112                     0               0          0           0    1.86e-05    1.86e-05    0.004679    INV_X1
reg_DOUT_U28                     1.65e+07               0          0           0   1.414e-05   1.414e-05    0.003557    NAND2_X1
reg_DOUT_U30                     1.65e+07               0          0           0   1.414e-05   1.414e-05    0.003557    NAND2_X1
reg_DOUT_U32                     1.65e+07               0          0           0   1.414e-05   1.414e-05    0.003557    NAND2_X1
FE_RC_58_0                              0               0          0           0   1.358e-05   1.358e-05    0.003416    AOI21_X1
FE_RC_63_0                              0               0          0           0   1.358e-05   1.358e-05    0.003416    AOI21_X1
FE_RC_51_0                              0               0          0           0   1.358e-05   1.358e-05    0.003416    AOI21_X1
add_dx_sub_16_U14                       0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
add_dx_sub_16_U13                       0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
add_dx_sub_16_U12                       0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
add_sx_sub_16_U11                       0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
add_sx_sub_16_U13                       0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
add_sx_sub_16_U14                       0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
add_sx_sub_16_U15                       0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
add_sx_U33                              0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
molta1_mult_17_U112                     0               0          0           0    1.01e-05    1.01e-05    0.002541    INV_X1
----------------------------------------------------------------------------------------------------------------------------
Total                                                         0.2108      0.1684     0.01837      0.3976         100    


Rail                  Voltage   Internal   Switching     Leakage       Total  Percentage 
                                Power      Power         Power         Power  (%)        
-----------------------------------------------------------------------------------------
VDD                       1.1     0.2108      0.1684     0.01837      0.3976         100 

 
 
Instance Power Report for VDD rail network

Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
moltb0_mult_17_U3                   2e+08           4e+08   0.001471    0.002308   7.692e-05    0.003856      0.9698    FA_X1
moltb1_mult_17_U3                   2e+08           4e+08   0.001457    0.001588   7.795e-05    0.003122      0.7853    FA_X1
molta1_mult_17_U3                   2e+08           4e+08   0.001452    0.001503   7.654e-05    0.003031      0.7624    FA_X1
moltb0_mult_17_U5                   2e+08           4e+08   0.001448    0.001382   7.086e-05    0.002901      0.7297    FA_X1
moltb0_mult_17_U7                   2e+08           4e+08   0.001448    0.001363   6.817e-05     0.00288      0.7242    FA_X1
moltb0_mult_17_U4                   2e+08           4e+08    0.00145    0.001343   7.518e-05    0.002868      0.7214    FA_X1
moltb0_mult_17_U10                  2e+08           4e+08   0.001449    0.001338   6.832e-05    0.002855       0.718    FA_X1
moltb0_mult_17_U9                   2e+08           4e+08   0.001437    0.001334   6.253e-05    0.002834      0.7127    FA_X1
moltb0_mult_17_U6                   2e+08           4e+08   0.001444      0.0013   6.749e-05    0.002811      0.7071    FA_X1
moltb0_mult_17_U8                   2e+08           4e+08   0.001441    0.001303   6.261e-05    0.002806      0.7058    FA_X1
del_data_out_reg_5_              1.65e+08        1.65e+08   0.001193    0.001496   8.565e-05    0.002774      0.6978    DFFR_X1
del_data_out_reg_3_              1.65e+08        1.65e+08   0.001191    0.001469   8.565e-05    0.002746      0.6907    DFFR_X1
del_data_out_reg_1_              1.65e+08        1.65e+08   0.001175    0.001454   8.565e-05    0.002716       0.683    DFFR_X1
moltb1_mult_17_U7                   2e+08           4e+08   0.001445    0.001181   6.734e-05    0.002694      0.6775    FA_X1
moltb1_mult_17_U4                   2e+08           4e+08   0.001446    0.001144   7.729e-05    0.002668      0.6709    FA_X1
moltb1_mult_17_U6                   2e+08           4e+08   0.001438    0.001145   6.661e-05     0.00265      0.6665    FA_X1
molta1_mult_17_U5                   2e+08           4e+08   0.001442    0.001128   7.103e-05    0.002641      0.6643    FA_X1
moltb1_mult_17_U5                   2e+08           4e+08   0.001441    0.001091   7.174e-05    0.002603      0.6548    FA_X1
molta1_mult_17_U6                   2e+08           4e+08   0.001443    0.001074   6.766e-05    0.002584      0.6499    FA_X1
molta1_mult_17_U4                   2e+08           4e+08   0.001442    0.001064   7.499e-05    0.002581      0.6491    FA_X1
moltb0_mult_17_U102                 2e+08           2e+08  0.0006012    0.001862   3.616e-05      0.0025      0.6287    XOR2_X1
moltb0_mult_17_U13                  2e+08           4e+08   0.001429   0.0009996   7.051e-05      0.0025      0.6287    FA_X1
moltb0_mult_17_U103             1.734e+08           2e+08  0.0006003    0.001854   3.616e-05    0.002491      0.6265    XOR2_X1
moltb0_mult_17_U21                  2e+08           4e+08   0.001433   0.0009557   7.066e-05    0.002459      0.6185    FA_X1
moltb1_mult_17_U14              1.611e+08           4e+08   0.001432   0.0009469   7.908e-05    0.002458      0.6182    FA_X1
moltb0_mult_17_U16                  2e+08           4e+08   0.001441   0.0009463   6.855e-05    0.002456      0.6176    FA_X1
moltb0_mult_17_U14                  2e+08           4e+08   0.001431   0.0009455   7.601e-05    0.002453      0.6169    FA_X1
molta1_mult_17_U16              1.611e+08       3.973e+08   0.001429   0.0009485   6.974e-05    0.002447      0.6155    FA_X1
molta1_mult_17_U14              1.611e+08           4e+08   0.001429   0.0009264   7.611e-05    0.002432      0.6116    FA_X1
moltb0_mult_17_U19                  2e+08           4e+08   0.001427    0.000933   6.678e-05    0.002427      0.6104    FA_X1
moltb1_mult_17_U16              1.611e+08       3.873e+08   0.001397   0.0009153   6.986e-05    0.002382       0.599    FA_X1
molta1_mult_17_U19              1.611e+08       3.856e+08   0.001373   0.0008867   6.853e-05    0.002328      0.5855    FA_X1
moltb1_mult_17_U19              1.611e+08       3.754e+08   0.001335    0.000912   6.624e-05    0.002313      0.5818    FA_X1
molta1_mult_17_U7                   2e+08       3.474e+08   0.001245    0.001005   6.231e-05    0.002312      0.5815    FA_X1
molta1_mult_17_U9               1.611e+08        3.33e+08   0.001201   0.0009956   6.516e-05    0.002262       0.569    FA_X1
molta1_mult_17_U8               1.611e+08       3.353e+08   0.001199   0.0009947   6.181e-05    0.002255      0.5672    FA_X1
moltb1_mult_17_U8               1.611e+08       3.295e+08   0.001182    0.001006    6.24e-05    0.002251       0.566    FA_X1
moltb1_mult_17_U9               1.611e+08       3.141e+08   0.001122    0.001001   6.173e-05    0.002185      0.5495    FA_X1
add_sx_U14                          2e+08           2e+08  0.0001901    0.001978   1.435e-05    0.002183       0.549    INV_X1
add_sx_U12                          2e+08           2e+08  0.0001914    0.001964   1.435e-05     0.00217      0.5458    INV_X1
add_dx_sub_16_U2_8                  2e+08           4e+08   0.001424   0.0006299    7.62e-05     0.00213      0.5357    FA_X1
add_dx_add_16_U1_8                  2e+08           4e+08   0.001424   0.0006298   7.488e-05    0.002129      0.5355    FA_X1
add_dx_add_16_U1_13                 2e+08           4e+08   0.001424   0.0006211   7.582e-05    0.002121      0.5334    FA_X1
add_dx_add_16_U1_10                 2e+08           4e+08   0.001423   0.0006206   7.525e-05    0.002119       0.533    FA_X1
add_dx_add_16_U1_6                  2e+08           4e+08   0.001425   0.0006149   7.319e-05    0.002113      0.5315    FA_X1
add_dx_add_16_U1_12                 2e+08           4e+08   0.001423   0.0006139   7.561e-05    0.002113      0.5314    FA_X1
add_sx_sub_16_U2_8                  2e+08           4e+08   0.001427   0.0006105    7.45e-05    0.002112      0.5311    FA_X1
add_dx_sub_16_U2_13                 2e+08           4e+08   0.001424   0.0006101   7.582e-05    0.002109      0.5305    FA_X1
add_dx_sub_16_U2_10                 2e+08           4e+08   0.001424   0.0006078   7.594e-05    0.002108      0.5302    FA_X1
add_sx_sub_16_U2_11                 2e+08           4e+08   0.001424     0.00061   7.312e-05    0.002108      0.5301    FA_X1
add_sx_sub_16_U2_9                  2e+08           4e+08   0.001424   0.0006087    7.36e-05    0.002107      0.5298    FA_X1
add_dx_sub_16_U2_12                 2e+08           4e+08   0.001424   0.0006062   7.584e-05    0.002106      0.5298    FA_X1
add_dx_add_16_U1_7                  2e+08           4e+08   0.001424   0.0006068   7.323e-05    0.002104      0.5291    FA_X1
add_dx_add_16_U1_11                 2e+08           4e+08   0.001423   0.0006033   7.556e-05    0.002102      0.5286    FA_X1
add_sx_sub_16_U2_12                 2e+08           4e+08   0.001424   0.0006038   7.303e-05    0.002101      0.5284    FA_X1
add_sx_add_16_U1_13                 2e+08           4e+08   0.001422   0.0006043   7.294e-05    0.002099       0.528    FA_X1
add_dx_add_16_U1_9                  2e+08           4e+08   0.001423   0.0005987   7.515e-05    0.002097      0.5273    FA_X1
add_dx_sub_16_U2_9                  2e+08           4e+08   0.001424   0.0005961   7.599e-05    0.002096      0.5271    FA_X1
add_sx_sub_16_U2_10                 2e+08           4e+08   0.001424   0.0005972   7.332e-05    0.002095      0.5269    FA_X1
add_dx_sub_16_U2_11                 2e+08           4e+08   0.001424   0.0005944   7.582e-05    0.002094      0.5267    FA_X1
add_dx_sub_16_U2_7                  2e+08           4e+08   0.001423   0.0005834   7.652e-05    0.002083      0.5239    FA_X1
add_sx_add_16_U1_11                 2e+08           4e+08   0.001421   0.0005871   7.279e-05    0.002081      0.5234    FA_X1
add_dx_sub_16_U2_5              1.945e+08       3.944e+08   0.001408   0.0005924    7.83e-05    0.002079      0.5229    FA_X1
add_dx_sub_16_U2_6                  2e+08           4e+08   0.001417   0.0005785   7.744e-05    0.002073      0.5214    FA_X1
add_sx_sub_16_U2_13                 2e+08           4e+08   0.001422   0.0005778   7.295e-05    0.002073      0.5213    FA_X1
moltb0_mult_17_U11              1.556e+08       2.723e+08  0.0009182    0.001086    5.34e-05    0.002058      0.5176    HA_X1
molta1_mult_17_U13              1.289e+08       3.223e+08   0.001153   0.0007971   7.203e-05    0.002022      0.5087    FA_X1
moltb1_mult_17_U13              1.289e+08       3.223e+08    0.00115   0.0007718   6.934e-05    0.001991      0.5007    FA_X1
add_sx_sub_16_U2_7                  2e+08       3.806e+08   0.001358   0.0005466   7.506e-05     0.00198      0.4979    FA_X1
moltb1_mult_17_U21              1.289e+08       3.213e+08   0.001149   0.0007559   6.914e-05    0.001974      0.4964    FA_X1
add_dx_add_16_U1_5              1.945e+08       3.703e+08    0.00132   0.0005678   6.616e-05    0.001954      0.4915    FA_X1
add_sx_add_16_U1_9                  2e+08       3.996e+08   0.001409   0.0003961    7.24e-05    0.001878      0.4723    FA_X1
moltb0_mult_17_U157                 2e+08           2e+08  0.0002985    0.001557   1.739e-05    0.001873       0.471    NAND2_X1
FE_RC_17_0                          2e+08       1.556e+08  0.0001871    0.001637     3.1e-05    0.001856      0.4667    NAND2_X1
add_sx_add_16_U1_10                 2e+08           4e+08   0.001409   0.0003733   7.262e-05    0.001855      0.4666    FA_X1
add_sx_add_16_U1_12                 2e+08           4e+08    0.00141   0.0003622   7.287e-05    0.001845      0.4639    FA_X1
moltb0_mult_17_U162                 2e+08           2e+08  0.0002957    0.001529   1.739e-05    0.001842      0.4634    NAND2_X1
moltb0_mult_17_U22                  2e+08       3.294e+08   0.001017   0.0007577   5.525e-05     0.00183      0.4602    HA_X1
del_data_out_reg_4_              1.65e+08        1.65e+08   0.001187   0.0005314   8.565e-05    0.001804      0.4537    DFFR_X1
add_sx_U16                      1.556e+08       1.556e+08  0.0001471    0.001642   1.435e-05    0.001803      0.4536    INV_X1
add_dx_add_16_U1_14                 2e+08           2e+08   0.001417    0.000267   7.587e-05     0.00176      0.4427    FA_X1
add_sx_add_16_U1_8                  2e+08       3.834e+08   0.001351   0.0003354   7.156e-05    0.001758       0.442    FA_X1
add_dx_sub_16_U2_14                 2e+08           2e+08   0.001418   0.0002591   7.582e-05    0.001752      0.4408    FA_X1
del_data_out_reg_2_              1.65e+08        1.65e+08   0.001176    0.000489   8.565e-05    0.001751      0.4403    DFFR_X1
reg_DOUT_data_out_reg_5_         1.65e+08        1.65e+08   0.001194   0.0004319   8.555e-05    0.001712      0.4305    DFFR_X1
add_sx_sub_16_U2_14                 2e+08           2e+08   0.001414   0.0001989   7.292e-05    0.001686      0.4241    FA_X1
reg_DOUT_data_out_reg_7_         1.65e+08        1.65e+08   0.001181   0.0003799   8.565e-05    0.001647      0.4142    DFFR_X1
reg_DOUT_data_out_reg_9_         1.65e+08        1.65e+08   0.001195   0.0003642   8.565e-05    0.001645      0.4138    DFFR_X1
add_dx_add_16_U1_4              1.556e+08       3.002e+08   0.001084   0.0004824   6.907e-05    0.001635      0.4113    FA_X1
reg_DOUT_data_out_reg_8_         1.65e+08        1.65e+08   0.001189   0.0003549   8.565e-05     0.00163      0.4099    DFFR_X1
reg_DOUT_data_out_reg_10_        1.65e+08        1.65e+08   0.001195    0.000349   8.565e-05    0.001629      0.4098    DFFR_X1
reg_DOUT_data_out_reg_11_        1.65e+08        1.65e+08   0.001194   0.0003389   8.565e-05    0.001619      0.4072    DFFR_X1
reg_DOUT_data_out_reg_13_        1.65e+08        1.65e+08   0.001194   0.0003225   8.565e-05    0.001602      0.4029    DFFR_X1
add_sx_add_16_U1_7                  2e+08       3.548e+08   0.001249   0.0002817   7.119e-05    0.001602      0.4029    FA_X1
reg_DOUT_data_out_reg_12_        1.65e+08        1.65e+08   0.001194   0.0003124   8.565e-05    0.001592      0.4003    DFFR_X1
FE_DBTC3_v_old_0                8.251e+07       8.251e+07    7.9e-05    0.001472   1.362e-05    0.001565      0.3935    INV_X1
moltb0_mult_17_U20                  2e+08       2.766e+08  0.0009362   0.0005642   5.609e-05    0.001557      0.3915    HA_X1
moltb1_mult_17_U10              1.031e+08       2.287e+08  0.0008232   0.0006627   6.718e-05    0.001553      0.3906    FA_X1
add_dx_sub_16_U2_4              1.556e+08       3.002e+08   0.001064   0.0004074   8.158e-05    0.001553      0.3905    FA_X1
add_sx_sub_16_U2_6              1.289e+08       2.878e+08   0.001026    0.000417   7.756e-05    0.001521      0.3825    FA_X1
add_sx_add_16_U1_14                 2e+08           2e+08   0.001403           0   7.296e-05    0.001476      0.3712    FA_X1
molta1_mult_17_U21              1.289e+08       2.391e+08   0.000831   0.0005736   5.912e-05    0.001464      0.3681    FA_X1
FE_RC_20_0                          2e+08           2e+08  0.0002422    0.001187     3.1e-05     0.00146      0.3671    NAND2_X1
del_data_out_reg_0_              1.65e+08        1.65e+08   0.001161   0.0001981   8.565e-05    0.001445      0.3635    DFFR_X1
reg_DOUT_data_out_reg_6_         1.65e+08       1.335e+08   0.001009   0.0003457   8.565e-05     0.00144      0.3622    DFFR_X1
molta1_mult_17_U11              1.031e+08       2.303e+08  0.0006471   0.0006815   6.283e-05    0.001391      0.3499    HA_X1
molta1_mult_17_U22              1.289e+08       2.392e+08  0.0007587   0.0005754   5.544e-05     0.00139      0.3495    HA_X1
moltb1_mult_17_U22              1.289e+08       2.391e+08  0.0007572   0.0005694   5.638e-05    0.001383      0.3478    HA_X1
molta1_mult_17_U20              1.289e+08       2.424e+08  0.0007663   0.0005446    5.66e-05    0.001367      0.3439    HA_X1
molta1_mult_17_U106             8.251e+07       1.031e+08  0.0003091    0.001016   3.776e-05    0.001363      0.3428    XOR2_X1
molta1_mult_17_U107             8.251e+07       1.031e+08  0.0003088    0.001003   3.776e-05    0.001349      0.3394    XOR2_X1
moltb1_mult_17_U106             8.251e+07       1.031e+08  0.0003091   0.0009793   3.776e-05    0.001326      0.3335    XOR2_X1
moltb1_mult_17_U107             8.251e+07       1.031e+08  0.0003088   0.0009711   3.776e-05    0.001318      0.3314    XOR2_X1
moltb0_mult_17_U143             1.556e+08       1.556e+08  0.0002205    0.001068   1.739e-05    0.001306      0.3285    NAND2_X1
add_sx_sub_16_U2_5              1.289e+08       2.433e+08  0.0008745   0.0003478   7.779e-05      0.0013       0.327    FA_X1
molta1_mult_17_U10              1.031e+08       1.827e+08    0.00064   0.0005709   5.681e-05    0.001268      0.3188    FA_X1
moltb0_mult_17_U155                 2e+08           2e+08  0.0004856   0.0006986    3.49e-05    0.001219      0.3066    OAI22_X1
FE_RC_23_0                          2e+08           2e+08  0.0002421   0.0009314     3.1e-05    0.001205      0.3029    NAND2_X1
add_sx_add_16_U1_6              1.289e+08       2.624e+08  0.0009191   0.0001822    6.85e-05     0.00117      0.2942    FA_X1
moltb1_mult_17_U20              1.289e+08       1.946e+08  0.0007094   0.0003838   5.536e-05    0.001149      0.2889    HA_X1
add_sx_sub_16_U1                    2e+08           2e+08  0.0001969   0.0009138   1.437e-05    0.001125       0.283    INV_X1
add_sx_U20                          2e+08           2e+08  0.0001888    0.000906   1.435e-05    0.001109       0.279    INV_X1
add_dx_sub_16_U5                    2e+08           2e+08  0.0001978   0.0008862   1.437e-05    0.001098      0.2763    INV_X1
moltb0_mult_17_U160                 2e+08           2e+08  0.0004848   0.0005458    3.49e-05    0.001065       0.268    OAI22_X1
